agent_id,obs,action,reward,next_obs,done
0,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
3,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
0,"[0.42857142857142855, 0.5714285714285714]",0,0,"[0.42857142857142855, 0.5714285714285714]",1.0
1,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
2,"[0.42857142857142855, 0.5714285714285714]",1,0,"[0.42857142857142855, 0.5714285714285714]",1.0
